Title,Channel,URL
Love Makin' Music,Barry White,https://www.youtube.com/watch?v=Tn0m3Wmmu_o
Sweet Sticky Thing,Ohio Players - Topic,https://www.youtube.com/watch?v=kY4OK1gLSyM
I Want Your Love,Nile Rodgers & CHIC,https://www.youtube.com/watch?v=pGc3dtxsXFI
[Private video],,https://www.youtube.com/watch?v=KSf8hMUsgNQ
Don't Leave Me This Way,Thelma Houston - Topic,https://www.youtube.com/watch?v=jC5AquZHn4E
I'll Always Love My Mama,The Intruders,https://www.youtube.com/watch?v=T8LPAsKo4u8
Boogie On Reggae Woman,Stevie Wonder,https://www.youtube.com/watch?v=3dsGxTFLubo
True (Single Edit),Spandau Ballet (Official),https://www.youtube.com/watch?v=2H1N6KdU-L0
Up On Cripple Creek,The Band,https://www.youtube.com/watch?v=fwQiWXYnuK0
Spill The Wine,War,https://www.youtube.com/watch?v=7B3d7loXra8
[Private video],,https://www.youtube.com/watch?v=AfbdlgRj4Co
Woman from Tokyo (2002 Remaster),Deep Purple Official,https://www.youtube.com/watch?v=wpBkc0If4s4
Keep Your Head Up,Andy Grammer,https://www.youtube.com/watch?v=MvIbZRJS7xs
Come And Get It,Badfinger - Topic,https://www.youtube.com/watch?v=6unFHz6tZtc
Born To Be Wild,Steppenwolf - Topic,https://www.youtube.com/watch?v=igvP806798U
Roses (Explicit),Kanye West,https://www.youtube.com/watch?v=Uf0cUgLbjPc
[Private video],,https://www.youtube.com/watch?v=3jlCZpaq0mI
Don't You Just Know It,"Huey ""Piano"" Smith & Orchestra - Topic",https://www.youtube.com/watch?v=wP0d0EoS6YU
The Need To Know (feat. SZA),Wale,https://www.youtube.com/watch?v=8epjVLr4TsI
Don't Tell Me,Avril Lavigne,https://www.youtube.com/watch?v=LiVYyRjx2Mw
Soak Up The Sun,Sheryl Crow,https://www.youtube.com/watch?v=88HeyQnV6Qk
Killing In The Name,Rage Against the Machine,https://www.youtube.com/watch?v=Fl-e2PM1ITM
The Sun and the Rainfall,Marsheaux - Topic,https://www.youtube.com/watch?v=C_jqaFT8V4U
My Old School,Steely Dan,https://www.youtube.com/watch?v=s7DYyToslXc
Maximum Consumption,The Kinks,https://www.youtube.com/watch?v=Vs9TfnIz0qI
Beware of Darkness,Leon Russell,https://www.youtube.com/watch?v=wpDaBl1VClw
I Want You All Tonight,Curtis Hairston - Topic,https://www.youtube.com/watch?v=pth7tiGWWfE
[Deleted video],,https://www.youtube.com/watch?v=ognWkLBYniY
Storm Front,Billy Joel,https://www.youtube.com/watch?v=dsnDmbaYITQ
Sledgehammer,Peter Gabriel,https://www.youtube.com/watch?v=a4zbZUUB580
[Private video],,https://www.youtube.com/watch?v=TMsqwxXc9GM
Whip It (2009 Remaster),DEVOvision,https://www.youtube.com/watch?v=kwkLYLOe4U0
Lovesong (2010 Remaster),The Cure,https://www.youtube.com/watch?v=cI0QizfB7qo
[Private video],,https://www.youtube.com/watch?v=Qxl-t4hBAZM
Who Can It Be Now?,Men At Work,https://www.youtube.com/watch?v=wVCGysjDdp8
World in My Eyes (2006 Remaster),Depeche Mode,https://www.youtube.com/watch?v=GAo82KUJr_A
It's The End Of The World As We Know It (And I Feel Fine) (Remastered 2006),remhq,https://www.youtube.com/watch?v=bfyNlISf_No
If You Could Read My Mind,Gordon Lightfoot,https://www.youtube.com/watch?v=fT_J-LNqVvw
White Room,Cream - Topic,https://www.youtube.com/watch?v=KnjsiaUsQTQ
Dream Weaver,Gary Wright - Topic,https://www.youtube.com/watch?v=McZYYe0kAtg
Really Don't Mind / See There a Son Is Born (Steven Wilson Stereo Remix),Jethro Tull,https://www.youtube.com/watch?v=9jNLYCudQW4
[Deleted video],,https://www.youtube.com/watch?v=HGekjZd5LPk
Go Your Own Way (2002 Remaster),Fleetwood Mac,https://www.youtube.com/watch?v=IPBcoIlGp-8
Blue Christmas,Jackie Gleason - Topic,https://www.youtube.com/watch?v=TpX0Bt7d0jg
I'll Be Home for Christmas,Doris Day,https://www.youtube.com/watch?v=eSEaBe9zqlg
Wake Me up When September Ends,Green Day,https://www.youtube.com/watch?v=ulRXvH8VOl8
Harold Melvin & The Blue Notes - The Love I Lost (Official Audio) ft. Teddy Pendergrass,Harold Melvin & The Blue Notes,https://www.youtube.com/watch?v=cdEoclFadWI
Shining Star,Earth Wind & Fire,https://www.youtube.com/watch?v=iHO40Jmqscg
Yearning For Your Love,The Gap Band,https://www.youtube.com/watch?v=N2rxutexqQM
Buddy Holly,weezer,https://www.youtube.com/watch?v=20tDK_nTSzM
If I Knew You Were Comin' I'd 've Baked A Cake,Georgia Gibbs - Topic,https://www.youtube.com/watch?v=GE4kOX2drXw
Baby I'm For Real,The Originals - Topic,https://www.youtube.com/watch?v=cGf6FT3HWgU
Childish Gambino - Redbone (Official Audio),Donald Glover,https://www.youtube.com/watch?v=Kp7eSUU9oy8
Changin',michael grudge,https://www.youtube.com/watch?v=ES2nNll1s0Y
I'm Every Woman,Chaka Khan,https://www.youtube.com/watch?v=vNAq7Cv34l4
Tobacco Road,The Nashville Teens - Topic,https://www.youtube.com/watch?v=Fpv908CeI4I
[Deleted video],,https://www.youtube.com/watch?v=TlZj3n3DxmI
Superman,EminemMusic,https://www.youtube.com/watch?v=lPlePBCS6Ic
La Virgen De La Macarena,Arturo Sandoval - Topic,https://www.youtube.com/watch?v=XWjdaMtI19s
For Once In My Life,Stevie Wonder,https://www.youtube.com/watch?v=l3qi3E40aWE
Goin' Out Of My Head,Little Anthony - Topic,https://www.youtube.com/watch?v=I8OE5aBNbRE
We've Come Too Far To End It Now,Smokey Robinson,https://www.youtube.com/watch?v=oeJwtUrTlHQ
Get On The Good Foot (Pt. 1 & 2),James Brown,https://www.youtube.com/watch?v=Uvtw3JTa_dY
Pass The Peas,The J.B.'s - Topic,https://www.youtube.com/watch?v=dQrX90s7PPE
Everybody Dance,Nile Rodgers & CHIC,https://www.youtube.com/watch?v=p1pc19Ckk88
Never Knew Love Like This Before,Stephanie Mills - Topic,https://www.youtube.com/watch?v=x-1fHv9IWqg
"Oh, How It Hurts",Barbara Mason - Topic,https://www.youtube.com/watch?v=qYZRyKwSYqk
[Private video],,https://www.youtube.com/watch?v=F88YqPris_Q
I Wanna Know Your Name,The Intruders,https://www.youtube.com/watch?v=bnyv6nJ2Wcw
Gold Digger (Explicit),Kanye West,https://www.youtube.com/watch?v=RogC-7p_F5Y
Jaded,Aerosmith,https://www.youtube.com/watch?v=xE8YA2BZTZ8
My Immortal,Evanescence,https://www.youtube.com/watch?v=ta6R6ePVG18
The Rain,Joe Hisaishi Official,https://www.youtube.com/watch?v=jq6ARiO7cwE
Holiday / Boulevard of Broken Dreams,Green Day,https://www.youtube.com/watch?v=J0xe5DcnYSA
"12"" Disco Mix - The Ultimate Disco Mix",myplaylisthub,https://www.youtube.com/watch?v=lEXY6gP7eLs
The Snowball 2013 Gordon Webster Band - I Wanna Be Like You,The Snowballevent,https://www.youtube.com/watch?v=4B6_-EOI5Js
It's My Life,NoDoubtTV,https://www.youtube.com/watch?v=ojJJCWyJPyI
[Private video],,https://www.youtube.com/watch?v=bp-Tv_yEFfs
If You Really Love Me,Stevie Wonder,https://www.youtube.com/watch?v=-nEpNCukQtE
Unity,The O'Jays,https://www.youtube.com/watch?v=K8gexnf-8YI
Right Thurr,Chingy,https://www.youtube.com/watch?v=hSEprdowXxo
Love Never Felt So Good,Michael Jackson,https://www.youtube.com/watch?v=FkxEE7wZ83c
Summertime Rolls (2006 Remastered Version),Jane's Addiction,https://www.youtube.com/watch?v=JLTJdV_DHPw
Smooth Operator (2011 Remastered),Sade,https://www.youtube.com/watch?v=rS7Va0sBYAM
Sitting In the Park,G.Q. - Topic,https://www.youtube.com/watch?v=ExrC-aHffu4
Georgia on My Mind,Ray Charles,https://www.youtube.com/watch?v=o22iAM77sbs
Reach Out I'll Be There,The Four Tops  - Topic,https://www.youtube.com/watch?v=JoylmpPkEB0
Bell Bottom Blues,Susanna Hoffs,https://www.youtube.com/watch?v=SO7ho5vkHUI
Heart-Shaped Box,Nirvana,https://www.youtube.com/watch?v=OXeXwKkZEJ4
Diablo Rojo,Rodrigo y Gabriela,https://www.youtube.com/watch?v=XtQ8CSn9xn4
[Private video],,https://www.youtube.com/watch?v=i2Xt51fGC64
Cool,Gwen Stefani,https://www.youtube.com/watch?v=ilKIgWnHVc0
Kid,Susanna Hoffs,https://www.youtube.com/watch?v=z2DnslQ-vJA
Journey - Open Arms (Official Audio),journey,https://www.youtube.com/watch?v=3ByIYof4mqo
Bangla Desh (Bonus Track),George Harrison,https://www.youtube.com/watch?v=eqaDRYDPU5s
Radiohead - Everything In Its Right Place/Idioteque (Live at Lollapalooza Chicago 2016),Leonardo Lourenço,https://www.youtube.com/watch?v=K-NorCIKfak
Fountains of Wayne - Stacy's Mom (Official Music Video),FountainsOfWayneVEVO,https://www.youtube.com/watch?v=dZLfasMPOU4
Rising Yoshida Brothers,Kenne14,https://www.youtube.com/watch?v=VmuTEfho-2o
Miracles (Someone Special),Coldplay,https://www.youtube.com/watch?v=9QriwkLu6H0
